날짜,요일,노출수,클릭수,CTR,평균 CPC,비용,구독 신청,전환율,전환당비용,예산 소진,학습 기간
2026-07-06,월,1641,36,2.16%,1014,36000,0.00,0.00%,,Y,Y
2026-07-07,화,1659,38,2.27%,955,36000,0.00,0.00%,,Y,Y
2026-07-08,수,1781,39,2.20%,920,36000,2.00,5.11%,18000,Y,Y
2026-07-09,목,1825,40,2.21%,893,36000,0.00,0.00%,,Y,
2026-07-10,금,1774,36,2.02%,1002,36000,0.00,0.00%,,Y,
2026-07-11,토,1840,37,1.99%,984,36000,0.00,0.00%,,Y,
2026-07-12,일,1946,36,1.83%,1013,36000,0.00,0.00%,,Y,
2026-07-13,월,1732,35,2.04%,1017,36000,0.00,0.00%,,Y,
2026-07-14,화,1836,37,2.02%,969,36000,0.00,0.00%,,Y,
2026-07-15,수,2038,41,2.01%,878,36000,1.00,2.44%,36000,Y,
2026-07-16,목,2149,41,1.89%,887,36000,0.00,0.00%,,Y,
2026-07-17,금,1673,40,2.39%,901,36000,1.00,2.50%,36000,Y,
2026-07-18,토,1808,37,2.05%,970,36000,0.00,0.00%,,Y,
2026-07-19,일,1824,39,2.15%,920,36000,0.00,0.00%,,Y,
2026-07-20,월,2010,37,1.85%,967,36000,0.00,0.00%,,Y,
2026-07-21,화,1802,39,2.15%,931,36000,0.00,0.00%,,Y,
2026-07-22,수,1891,39,2.06%,926,36000,0.00,0.00%,,Y,
2026-07-23,목,1922,39,2.05%,914,36000,0.00,0.00%,,Y,
2026-07-24,금,1965,36,1.82%,1008,36000,0.00,0.00%,,Y,
2026-07-25,토,1902,40,2.12%,894,36000,0.00,0.00%,,Y,
2026-07-26,일,1606,36,2.23%,1005,36000,0.00,0.00%,,Y,
2026-07-27,월,2055,37,1.81%,968,36000,0.00,0.00%,,Y,
2026-07-28,화,1790,35,1.98%,1017,36000,0.00,0.00%,,Y,
2026-07-29,수,1722,40,2.30%,908,36000,0.00,0.00%,,Y,
2026-07-30,목,1849,40,2.18%,894,36000,1.00,2.48%,36000,Y,
2026-07-31,금,1811,37,2.03%,981,36000,0.00,0.00%,,Y,
2026-08-01,토,1753,36,2.03%,1011,36000,0.00,0.00%,,Y,
2026-08-02,일,1886,36,1.89%,1009,36000,0.00,0.00%,,Y,
2026-08-03,월,1665,37,2.25%,962,36000,0.00,0.00%,,Y,
2026-08-04,화,1690,36,2.12%,1006,36000,0.00,0.00%,,Y,
합계,,54846,1131,2.06%,955,1080000,5.00,0.44%,216000,,
