구분,값,노출수,클릭수,CTR,비용,구독 신청
기기,휴대전화,31824,653,2.05%,623747,5.00
기기,컴퓨터,19709,409,2.07%,390630,0.00
기기,태블릿,3313,69,2.08%,65623,0.00
시간대,00:00,922,20,2.14%,18900,0.00
시간대,01:00,518,11,2.14%,10631,0.00
시간대,02:00,288,6,2.14%,5906,0.00
시간대,03:00,173,4,2.14%,3544,0.00
시간대,04:00,173,4,2.14%,3544,0.00
시간대,05:00,346,7,2.14%,7087,0.00
시간대,06:00,806,16,2.04%,15760,0.00
시간대,07:00,1498,31,2.04%,29268,0.00
시간대,08:00,2189,45,2.04%,42776,0.00
시간대,09:00,2534,52,2.04%,49530,0.00
시간대,10:00,2650,54,2.04%,51782,0.00
시간대,11:00,2650,54,2.04%,51782,0.00
시간대,12:00,2528,52,2.06%,49718,0.31
시간대,13:00,2528,52,2.06%,49718,0.31
시간대,14:00,2643,55,2.06%,51978,0.32
시간대,15:00,2758,57,2.06%,54238,0.33
시간대,16:00,2873,59,2.06%,56498,0.35
시간대,17:00,3218,66,2.06%,63278,0.39
시간대,18:00,4136,85,2.06%,81494,0.53
시간대,19:00,4940,102,2.06%,97340,0.63
시간대,20:00,5284,109,2.06%,104131,0.67
시간대,21:00,4595,95,2.06%,90548,0.59
시간대,22:00,2987,62,2.06%,58856,0.38
시간대,23:00,1608,33,2.06%,31692,0.20
