검색어,관련도,일치 키워드,광고그룹,검색유형,노출수,클릭수,CTR,비용,구독 신청,전환당비용
3D,정확 일치,3D,광고그룹 1,확장검색,2859,87,3.04%,81333,4.00,20333
3D 채용,무관,3D,광고그룹 1,확장검색,2406,73,3.04%,68431,0.00,
3D 할인,관련,3D,광고그룹 1,확장검색,2299,70,3.04%,65406,1.00,65406
3D 비교,관련,3D,광고그룹 1,확장검색,2024,62,3.04%,57574,0.00,
3D 신청,관련,3D,광고그룹 1,확장검색,1999,61,3.04%,56873,0.00,
3D 블로그,느슨함,3D,광고그룹 1,확장검색,1919,58,3.04%,54603,0.00,
3D 토렌트,무관,3D,광고그룹 1,확장검색,1850,56,3.04%,52631,0.00,
3D 추천,관련,3D,광고그룹 1,확장검색,1628,49,3.04%,46326,0.00,
3D 가격,관련,3D,광고그룹 1,확장검색,1626,49,3.04%,46242,0.00,
3D 뜻,무관,3D,광고그룹 1,확장검색,1458,44,3.04%,41466,0.00,
3D 공짜,무관,3D,광고그룹 1,확장검색,1231,37,3.04%,35028,0.00,
온라인 클래스,정확 일치,온라인 클래스,광고그룹 1,확장검색,838,26,3.08%,25808,0.00,
온라인 클래스 후기,관련,온라인 클래스,광고그룹 1,확장검색,689,21,3.08%,21201,0.00,
온라인 클래스 가격,관련,온라인 클래스,광고그룹 1,확장검색,610,19,3.08%,18780,0.00,
온라인 기출,무관,온라인 클래스,광고그룹 1,확장검색,605,19,3.08%,18627,0.00,
온라인 구인,무관,온라인 클래스,광고그룹 1,확장검색,585,18,3.08%,18008,0.00,
온라인 국비지원,무관,온라인 클래스,광고그룹 1,확장검색,564,17,3.08%,17353,0.00,
온라인 클래스 추천,관련,온라인 클래스,광고그룹 1,확장검색,554,17,3.08%,17049,0.00,
저렴한 온라인 클래스,관련,온라인 클래스,광고그룹 1,확장검색,490,15,3.08%,15091,0.00,
모델링 강의,정확 일치,모델링 강의,광고그룹 1,확장검색,560,16,2.84%,15076,0.00,
온라인 자격증,무관,온라인 클래스,광고그룹 1,확장검색,489,15,3.08%,15056,0.00,
모델링,정확 일치,모델링,광고그룹 1,확장검색,2305,13,0.58%,12848,0.00,
온라인 클래스 할인,관련,온라인 클래스,광고그룹 1,확장검색,399,12,3.08%,12288,0.00,
블렌더 강의,정확 일치,블렌더 강의,광고그룹 1,확장검색,574,11,1.91%,10786,0.00,
모델링 강의 추천,관련,모델링 강의,광고그룹 1,확장검색,400,11,2.84%,10761,0.00,
모델링 추천,관련,모델링,광고그룹 1,확장검색,1862,11,0.58%,10381,0.00,
모델링 후기,관련,모델링,광고그룹 1,확장검색,1857,11,0.58%,10353,0.00,
모델링 요금,관련,모델링,광고그룹 1,확장검색,1827,11,0.58%,10186,0.00,
모델링 독학,무관,모델링,광고그룹 1,확장검색,1796,10,0.58%,10012,0.00,
